Category,2001,2011
India,934,923
Andhra Pradesh,963,941
Arunachal Pradesh,960,975
Assam,967,964
Bihar,944,938
Chhattisgarh,982,977
Goa,952,945
Gujarat,906,914
Haryana,823,835
Himachal Pradesh,900,912
Jammu & Kashmir,957,865
Jharkhand,973,957
Karnataka,949,950
Kerala,961,965
Madhya Pradesh,939,923
Maharashtra,916,890
Manipur,956,923
Meghalaya,973,972
Mizoram,965,966
Nagaland,969,933
Odisha,955,946
Punjab,799,844
Rajasthan,914,892
Sikkim,966,964
Tamil Nadu,933,936
Telangana,NaN,NaN
Tripura,968,960
Uttar Pradesh,921,906
Uttarakhand,918,899
West Bengal,963,959
A & N Islands,966,976
Chandigarh,847,871
D & N Haveli,1003,970
Daman & Diu,916,932
Lakshadweep,999,911
NCT of Delhi,850,814
Puducherry,967,953