Category,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
All India,19.4,20.8,21.5,23,24.3,24.5
Andaman & Nicobar Islands,11.4,12.3,20.2,25.6,23.2,23.5
Andhra Pradesh,28.4,29.9,27.3,30.8,31.2,30.8
Arunachal Pradesh,26.9,21.3,19,26.1,28.3,28.7
Assam,13.4,14.7,13.8,15.8,14.8,15.4
Bihar,10.5,12.5,13.1,13,13.9,14.3
Chandigarh,41.4,42.2,54.6,55.8,56.1,57.6
Chhatisgarh,13.6,10.5,12.4,14,14.6,15.1
Dadra & Nagar Haveli,3.6,6.4,6.2,7.4,8.3,9.1
Daman & Diu,3.5,3.9,4.3,4.7,5.7,5.7
Delhi,32.5,38.9,39.6,43.1,43.5,45.4
Goa,33.2,23.5,24.9,26.4,27.7,27.6
Gujarat,21.3,16.5,18.3,19.5,20,20.7
Haryana,24.1,28,27.8,27.5,27.6,26.1
Himachal Pradesh,26,24.8,25.8,29.3,31.2,32.5
Jammu and Kashmir,16.8,22.8,25.6,25.6,24.8,24.8
Jharkhand,8.1,9.9,12.1,13.1,16,16.2
Karnataka,25.5,23.8,25.4,26.2,26.4,26.1
Kerala,21.9,21.8,22.1,24.9,28.7,30.8
Lakshadweep,0,11.5,11.8,12,4,7.1
Madhya Pradesh,13.6,18.5,19.2,19.6,19.6,19.6
Maharashtra,27.6,26.3,22.9,26.3,27.9,29.9
Manipur,35.9,30.2,29.9,37.7,35.9,34.2
Meghalaya,17.5,17.4,19.2,19.3,20.5,20.8
Mizoram,21.6,19,22.2,23.2,23.3,24.1
Nagaland,21.5,15.8,14.7,15.4,15.6,14.9
Odisha,16.1,16.6,16.3,16.4,17.7,19.6
Puducherry,31.2,38.3,44.1,47.7,46,43.2
Punjab,19.4,23,23.9,25.4,27.1,27
Rajasthan,18.2,18.2,18.3,19.7,20,20.2
Sikkim,24.2,28.2,24.3,27.8,30.3,37.6
Tamil Nadu,32.9,40,42,43,45.2,44.3
Telangana,28.4,29.9,33.1,35.5,36.1,36.3
Tripura,13.6,12.4,14.1,15.4,16.8,16.9
Uttar Pradesh,15.2,17.5,18.8,20.4,24.5,24.2
Uttrakhand,26.1,30.1,32.6,32.7,34.9,33.6
West Bengal,13.8,15.4,17.1,18.2,19.1,19.1