Category,2009-10,2011-12
Andhra Pradesh,54.8,52.9
Arunachal Pradesh,65.7,68.1
Assam,64.2,56.1
Bihar,61.9,62.4
Chhattisgarh,74.1,72.8
Delhi,0.1,0.2
Goa,17.8,3.9
Gujarat,53.4,48.8
Haryana,44.4,43.3
Himachal Pradesh,59.7,58.4
Jammu & Kashmir,50.1,42.5
Jharkhand,46.3,50.4
Karnataka,55.8,49.9
Kerala,29.5,25.5
Madhya Pradesh,68.8,59
Maharashtra,52.4,49.1
Manipur,45.7,39.7
Meghalaya,62.3,56.6
Mizoram,63.2,55.3
Nagaland,63.5,60.5
Odisha,60.8,55.7
Punjab,44.2,36.5
Rajasthan,52.8,50.4
Sikkim,48.2,61.5
Tamil Nadu,44.6,35.2
Tripura,26.4,27.1
Uttarakhand,56.4,49
Uttar Pradesh,56.1,52.4
West Bengal,43.8,39.2
A & N Islands,27.9,26.4
Chandigarh,2.4,0.7
Dadra & Nagar Haveli,43.4,21.2
Daman & Diu,48.7,9.7
Lakshadweep,37,25.8
Puducherry,19.4,16.2
All India,53.2,48.9