Category,1951,1961,1971,1981,1991,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
National Highways : Length In Kms,19811,23798,23838,31671,33650,57737,58112,58112,65569,65569,66590,66590,66754,70548.43,70934,70934,76818,79116,91286.58,97991.12
National Highways : Length In Percentage,4.95,4.54,2.61,2.13,1.45,1.71,1.7,1.65,1.81,1.72,1.72,1.66,1.62,1.58,1.55,1.52,1.58,1.51,1.69,1.79
State Highways : Length In Kms,NA,NA,56765,94359,127311,132100,137711,134807,133177,144396,148090,152235,154522,158497.379,160177,163898,164360,169227,170818.135,167109.135
State Highways : Length In Percentage,0,0,6.2,6.35,5.47,3.92,4.02,3.82,3.68,3.79,3.82,3.79,3.76,3.54,3.5,3.5,3.38,3.23,3.16,3.05
Other PWD Roads : Length In Kms,173723,257125,276833,421895,509435,736001,695335,696960,719257,786230,803669,835003,863241,962879.981,977414,998895,1022287,1066747,1082267,1101178
Other PWD Roads : Length In Percentage,43.44,49.02,30.26,28.4,21.89,21.82,20.29,19.75,19.86,20.64,20.71,20.79,21.01,21.53,21.33,21.36,21.01,20.39,20.03,20.25
Panchayat Raj Roads : Length In Kms,206408,197194,354530,628865,931288,1068020,1134326,1155491,1189058,1299463,1318258,1372867,1388750,1514952.157,1518205,1530366,1587787,1725318,1800747,1831043
Panchayat Raj Roads : Length In Percentage,51.61,37.6,38.75,42.34,40.01,31.66,33.1,32.75,32.83,34.11,33.97,34.18,33.79,33.88,33.13,32.72,32.63,32.98,33.33,33.46
JRY & PMGSY Roads : Length In Kms,0,0,0,0,329142,903996,926697,926697,951511,966976,989867,1020621,1061809,1114212.85,1174330,1219438,1250433,1434321,1503581,1506212
JRY & PMGSY Roads : Length In Percentage,0,0,0,0,14.14,26.8,27.04,26.26,26.27,25.39,25.51,25.41,25.84,24.92,25.63,26.07,25.7,27.41,27.83,27.53
Urban Roads : Length In Kms,0,46361,72120,123120,186799,252001,250295,297259,301310,286707,291991,300580,304327,373801.976,402448,411679,464294,446238,457466.91,467106
Urban Roads : Length In Percentage,0,8.84,7.88,8.29,8.03,7.47,7.3,8.42,8.32,7.53,7.52,7.48,7.41,8.36,8.78,8.8,9.54,8.53,8.47,8.54
Project Roads : Length In Kms,0,0,130893,185511,209737,223665,224124,259328,261625,259815,262186,268505,270189,276617.039,278931,281628,299415,310955,296319,301505
Project Roads : Length In Percentage,0,0,14.31,12.49,9.01,6.63,6.54,7.35,7.22,6.82,6.76,6.69,6.57,6.19,6.09,6.02,6.15,5.94,5.48,5.51
Surfaced : Length In Kms,157019,263052,397948,683676,1090167,1601745,1661555,1701258,1760768,1795298,1858684,1944758,2036063,2324504,2432813,2524682,2698590,3171002,3220502.49,3341008.12
Surfaced : Length In Percentage,39.26,50.16,43.49,46.03,46.84,47.48,48.49,48.21,48.62,47.13,47.9,48.42,49.54,51.98,53.09,53.98,55.46,60.61,59.61,61.05
Total : Length In Kms,399942,524478,914979,1485421,2327362,3373520,3426600,3528654,3621507,3809156,3880651,4016401,4109592,4471509.812,4582439,4676838,4865394,5231922,5402485.625,5472144.255
Total : Length In Percentage,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100