Category,Total,Surfaced
All India,2437255,1486069
Andhra Pradesh,112787,62878
Arunachal Pradesh,11217,6330
Assam,255389,27670
Bihar,175373,84794
Chhattisgarh,35048,29909
Daman & Diu,293,111
Goa,8693,4889
Gujarat,62875,58110
Haryana,6974,6603
Himachal Pradesh,16552,12069
Jammu & Kashmir,13127,8046
Jharkhand,21150,13221
Karnataka,184918,105562
Kerala,127985,81252
Madhya Pradesh,177060,153993
Maharashtra,267402,204345
Manipur,11121,4906
Meghalaya,2807,1105
Mizoram,2852,2323
Nagaland,23093,9877
Odisha,217919,205118
Puducherry,1438,1081
Punjab,69170,68459
Rajasthan,108159,65878
Sikkim,4780,3890
Tamil Nadu,165291,120272
Telangana,70808,37165
Tripura,24106,9764
Uttar Pradesh,80044,69489
Uttarakhand,9104,6138
West Bengal,169720,20822